name,price,category
Рукола 75 г,"Цена со скидкой за 1 шт.139,99 ₽","Овощи, фрукты, зелень, орехи"
Грецкие орехи Красная цена 100 г,"92,99 ₽","Овощи, фрукты, зелень, орехи"
Ассорти овощное Global Village маринованное 680 г,"Цена со скидкой за 1 шт.179,99 ₽","Овощи, фрукты, зелень, орехи"
Апельсины Выгодно,"Цена со скидкой за 1 кг167,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель Кримм Нежный с соусом дольки замороженный 500 г,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные от Мартина Premium жареные с морской...,"49,99 ₽","Овощи, фрукты, зелень, орехи"
"Яблоки Роял Гала ~1,2 кг","Цена со скидкой за 1 шт.179,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель ДСК красный мытый,"Цена за 1 кг89,99 ₽","Овощи, фрукты, зелень, орехи"
Салатная смесь Салаты с поля Рукола Радиччо 75 г,"159,99 ₽","Овощи, фрукты, зелень, орехи"
Маслины Красная цена без косточки 300 г,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Шампиньоны Global Village резаные натуральные...,"104,99 ₽","Овощи, фрукты, зелень, орехи"
Смесь семечек Вкус & польза Салатная с кунжутом 80 г,"62,99 ₽","Овощи, фрукты, зелень, орехи"
Баклажаны,"Цена со скидкой за 1 кг95,00 ₽","Овощи, фрукты, зелень, орехи"
Фасоль стручковая Global Village замороженная 400 г,"Цена со скидкой за 1 шт.129,99 ₽","Овощи, фрукты, зелень, орехи"
Свекла мытая 1 кг,"89,99 ₽","Овощи, фрукты, зелень, орехи"
"Яблоки Global Village красные ~1,2 кг","215,99 ₽","Овощи, фрукты, зелень, орехи"
Грейпфрут красный,"Цена со скидкой за 1 кг89,99 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза Bonduelle сладкая консервированная 170 г,"Цена со скидкой за 1 шт.89,99 ₽","Овощи, фрукты, зелень, орехи"
Кинза Global Village 30 г,"79,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Global Village маринованные 720 мл,"Цена со скидкой за 1 шт.139,99 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза сахарная Красная цена зерновая 425 г,"59,99 ₽","Овощи, фрукты, зелень, орехи"
Горошек Bonduelle Нежный зеленый консервированный 200 г,"Цена со скидкой за 1 шт.89,99 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза Bonduelle сладкая консервированная 340 г,"134,99 ₽","Овощи, фрукты, зелень, орехи"
Смесь ягодня Красная цена компотная быстрозамороженная 300 г,"139,99 ₽","Овощи, фрукты, зелень, орехи"
Грибы вешенки Global Village 300 г,"179,99 ₽","Овощи, фрукты, зелень, орехи"
Манго сушеное ~200 г,"279,80 ₽","Овощи, фрукты, зелень, орехи"
Грузди Global Village соленые 330 г,"Цена со скидкой за 1 шт.129,99 ₽","Овощи, фрукты, зелень, орехи"
Облепиха Global Village быстрозамороженная 300 г,"Цена со скидкой за 1 шт.176,99 ₽","Овощи, фрукты, зелень, орехи"
Вишня Global Village без косточки быстрозамороженная 300 г,"Цена со скидкой за 1 шт.269,99 ₽","Овощи, фрукты, зелень, орехи"
Чернослив Красная цена 100 г,"76,99 ₽","Овощи, фрукты, зелень, орехи"
Салат Месклам 75 г,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Арахис Красная цена жареный соленый 80 г,"27,99 ₽","Овощи, фрукты, зелень, орехи"
Горошек зеленый Красная цена 400 г,"39,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Global Village корнишоны маринованные 720 мл,"Цена со скидкой за 1 шт.154,99 ₽","Овощи, фрукты, зелень, орехи"
Питахайя ~500 г,"225,00 ₽","Овощи, фрукты, зелень, орехи"
