name,price,category
Манго сушеное Mixbar 100 г,"199,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста Домашняя кадка Diet маринованная 350 г,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза Globus консервированная 340 г,"92,49 ₽","Овощи, фрукты, зелень, орехи"
Фасоль стручковая Красная цена зеленая резаная замороженная...,"239,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки Зеленая линия из конопли очищенные 120 г,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Икра Ресторация Обломов из молодых баклажанов 420 г,"Цена со скидкой за 1 шт.139,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль красная Global Village в томатном соусе 425 мл,"Цена со скидкой за 1 шт.98,99 ₽","Овощи, фрукты, зелень, орехи"
Шампиньоны замороженные Красная цена резаные 700 г,"209,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Валдайский погребок Купеческие маринованные 650 г,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Грецкий орех Mixbar очищенные 100 г,"179,99 ₽","Овощи, фрукты, зелень, орехи"
Семена подсолнечника Mixbar жареные с добавлением морской...,"Цена со скидкой за 1 шт.31,99 ₽","Овощи, фрукты, зелень, орехи"
Хурма сушеная ~200 г,"339,80 ₽","Овощи, фрукты, зелень, орехи"
Арахис Mixbar жареный соленый 150 г,"89,99 ₽","Овощи, фрукты, зелень, орехи"
Изюм Mixbar светлый без косточки 150 г,"102,99 ₽","Овощи, фрукты, зелень, орехи"
Арахис Станичные натуральный обжаренный 200 г,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Global Village зеленые с анчоусом 300 г,"159,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Global Village зеленые без косточки 300 г,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки тыквенные Mixbar Premium очищенные 150 г,"Цена со скидкой за 1 шт.188,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки тыквенные Красная цена обжаренные 100 г,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Фруктово-ореховая смесь Mixbar орехи с цукатами 130 г,"202,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры резаные Trattoria Di Maestro Turatti 400 г,"154,99 ₽","Овощи, фрукты, зелень, орехи"
Миндаль очищенный ~200 г,"339,80 ₽","Овощи, фрукты, зелень, орехи"
Персик сушеный Зеленика 20 г,"Цена со скидкой за 1 шт.132,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель Красная цена для жарки замороженный 700 г,"179,99 ₽","Овощи, фрукты, зелень, орехи"
Чипсы фруктовые Honey Kid яблочные 25 г,"Цена со скидкой за 1 шт.64,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель ранний,"Цена за 1 кг259,98 ₽","Овощи, фрукты, зелень, орехи"
Лайм Global Village 2 шт,"Цена со скидкой за 1 шт.99,99 ₽","Овощи, фрукты, зелень, орехи"
Фундук очищенный ~200 г,"339,80 ₽","Овощи, фрукты, зелень, орехи"
Патиссоны Global Village маринованные стерилизованные 480 г,"194,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста квашеная Global Village с хреном 500 г,"119,99 ₽","Овощи, фрукты, зелень, орехи"
Грецкий орех ДСК в скорлупе ~200 г,"Цена со скидкой за 1 шт.100,00 ₽","Овощи, фрукты, зелень, орехи"
Помидоры коктейльные Global village Selection Бакинские 350...,"239,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы Дядя Ваня Корнишоны по-французски маринованные 460 г,"269,99 ₽","Овощи, фрукты, зелень, орехи"
Слива сушеная Зеленика Здоровый перекус 20 г,"Цена со скидкой за 1 шт.132,99 ₽","Овощи, фрукты, зелень, орехи"
Соленья Гурме ассорти из соленых овощей 400 г,"154,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные От Атамана Отборные жареные 250 г,"96,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Mixbar жареные 300 г,"Цена со скидкой за 1 шт.69,99 ₽","Овощи, фрукты, зелень, орехи"
Клементины Global Village,"Цена за 1 кг298,99 ₽","Овощи, фрукты, зелень, орехи"
Салат маслянистый Рост в горшочке,"129,99 ₽","Овощи, фрукты, зелень, орехи"
"Апельсины красные Global Village ~1,3 кг","285,99 ₽","Овощи, фрукты, зелень, орехи"
Салат Дуболистный зеленый 170 г,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Bonduelle белая в томатном соусе консервированная...,"161,99 ₽","Овощи, фрукты, зелень, орехи"
Фундук Mixbar жареный 100 г,"209,99 ₽","Овощи, фрукты, зелень, орехи"
Арахис Merry Crunch в хрустящей корочке со вкусом сметаны и...,"34,99 ₽","Овощи, фрукты, зелень, орехи"
Свекла Валдайский погребок маринованная 500 г,"62,99 ₽","Овощи, фрукты, зелень, орехи"
Томаты Global Village в томатном соке 680 г,"134,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста квашеная Традиции вкуса с морковью 500 г,"119,99 ₽","Овощи, фрукты, зелень, орехи"
Грибное ассорти Экопродукт сушеное 50 г,"209,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Красная цена жареные 100 г,"14,49 ₽","Овощи, фрукты, зелень, орехи"
Арахис MixBar хрустящий со вкусом васаби 100 г,"Цена со скидкой за 1 шт.45,49 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Global Village белая в собственном соку 425 мл,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Баклажаны Global Village в аджике 350 г,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Смородина черная Global Village быстрозамороженная 300 г,"Цена со скидкой за 1 шт.295,99 ₽","Овощи, фрукты, зелень, орехи"
Икра Global Village из баклажанов 360 г,"Цена со скидкой за 1 шт.94,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Bonduelle красная в соусе чили консервированная 400 г,"199,99 ₽","Овощи, фрукты, зелень, орехи"
Баклажаны Global Village обжаренные с овощами 350 г,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры коктейльные Global Village красные 350 г,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Фисташки Вкус & Польза сырые очищенные 100 г,"459,99 ₽","Овощи, фрукты, зелень, орехи"
Фисташки Mixbar жареные неочищенные соленые 100 г,"279,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Don Semi сырые 500 г,"95,99 ₽","Овощи, фрукты, зелень, орехи"
Апельсины Global Village отборные ~2 кг,"399,98 ₽","Овощи, фрукты, зелень, орехи"
Семечки тыквенные Семушка очищенные 110 г,"212,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Global Village Selection зеленые с косточкой 300 г,"174,99 ₽","Овощи, фрукты, зелень, орехи"
Фруктовая смесь Mixbar Nature Ананас и папайя 150 г,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Груши Здоровый перекус сушеные 20 г,"Цена со скидкой за 1 шт.132,99 ₽","Овощи, фрукты, зелень, орехи"
Инжир сушеный 200 г,"Цена со скидкой за 1 шт.299,99 ₽","Овощи, фрукты, зелень, орехи"
Томаты Global Village маринованные 680 г,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Имбирь маринованный белый 250 г,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Манго Планета Витаминов замороженное 300 г,"349,99 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза От Мартина с солью 100 г,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Global Village Selection без косточки с сыром с...,"192,99 ₽","Овощи, фрукты, зелень, орехи"
Смесь лесных грибов замороженная Global Village 300 г,"274,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры желтые Global Village Органза 350 г,"199,99 ₽","Овощи, фрукты, зелень, орехи"
Фруктово-ореховая смесь Mixbar Nature сухофрукты с орехами...,"236,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Global Village белая 450 г,"189,99 ₽","Овощи, фрукты, зелень, орехи"
"Яблоки Global Village Гренни Смит ~1,3 кг","220,99 ₽","Овощи, фрукты, зелень, орехи"
Мята Global Village 50 г,"131,99 ₽","Овощи, фрукты, зелень, орехи"
Баклажаны Armenium Ararat по-восточному имам баялды 450 г,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Апельсины Global Village Навелин,"Цена со скидкой за 1 кг279,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры Черри сердцевидные Сладкая Ягода красные 200 г,"249,99 ₽","Овощи, фрукты, зелень, орехи"
"Ананас ~1,5 кг","449,99 ₽","Овощи, фрукты, зелень, орехи"
Ягоды Годжи сушеные Вкус & Польза 100 г,"199,99 ₽","Овощи, фрукты, зелень, орехи"
Манго желтое 1 шт,"499,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста Мистер Салат маринованная со сладким перцем 300 г,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Перец острый Гурме соленый 400 г,"154,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные От Мартина Молодежные жареные 100 г,"39,99 ₽","Овощи, фрукты, зелень, орехи"
Баклажаны с овощами Пиканта в томатном соусе 450 г,"Цена со скидкой за 1 шт.138,99 ₽","Овощи, фрукты, зелень, орехи"
Кешью Mixbar жареный 150 г,"289,99 ₽","Овощи, фрукты, зелень, орехи"
Фруктово-ореховая смесь Мааг Вечерний 150 г,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель Global Village По-деревенски быстрозамороженный...,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Лечо Красная цена По-болгарски 680 г,"143,99 ₽","Овощи, фрукты, зелень, орехи"
Изюм кишмиш темный 300 г,"Цена со скидкой за 1 шт.183,99 ₽","Овощи, фрукты, зелень, орехи"
Опята замороженные Красная цена 400 г,"Цена со скидкой за 1 шт.209,99 ₽","Овощи, фрукты, зелень, орехи"
Баклажаны Global Village обжаренные с овощами 510 г,"Цена со скидкой за 1 шт.93,49 ₽","Овощи, фрукты, зелень, орехи"
Арахис Mixbar жареный 200 г,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Имбирь Global Village розовый маринованный 250 г,"129,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Меленъ с грибами 360 г,"Цена со скидкой за 1 шт.99,99 ₽","Овощи, фрукты, зелень, орехи"
Стебли черемши Гурме соленые 250 г,"139,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры Global Village соленые красные 1 кг,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста маринованная Традиции вкуса со свеклой 300 г,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Перец чили Global Village Selection жгучий пламенный...,"Цена со скидкой за 1 шт.179,99 ₽","Овощи, фрукты, зелень, орехи"
Ананас Вкусы мира сушеный 80 г,"Цена со скидкой за 1 шт.150,49 ₽","Овощи, фрукты, зелень, орехи"
Абрикос Mixbar сушеный 150 г,"199,99 ₽","Овощи, фрукты, зелень, орехи"
Лук Порей 300 г,"299,99 ₽","Овощи, фрукты, зелень, орехи"
Чернослив Mixbar без косточки 200 г,"259,99 ₽","Овощи, фрукты, зелень, орехи"
Дыня,"Цена со скидкой за 1 кг399,98 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза сладкая Global Village Selection 340 г,"Цена со скидкой за 1 шт.104,99 ₽","Овощи, фрукты, зелень, орехи"
Клюква вяленая ВкусВилл 150 г,"249,99 ₽","Овощи, фрукты, зелень, орехи"
Лобио Global Village 360 г,"Цена со скидкой за 1 шт.99,99 ₽","Овощи, фрукты, зелень, орехи"
Овощная закуска Global Village Selection Лютеница домашняя...,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки тыквенные Вкус & Польза очищенные 150 г,"217,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Mixbar жареные 200 г,"59,99 ₽","Овощи, фрукты, зелень, орехи"
Миндаль Mixbar жареный сладкий 100 г,"239,99 ₽","Овощи, фрукты, зелень, орехи"
Чипсы фруктовые Яблоков из кисло-сладких яблок 25 г,"94,99 ₽","Овощи, фрукты, зелень, орехи"
Изюм Mixbar 150 г,"102,99 ₽","Овощи, фрукты, зелень, орехи"
